date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:26	84838/84838	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:52:27%20GMT	https://wphix.com/template/sycho-prv/sycho/index.html	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/index.html	(from )
16:32:27	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Nov%202021%2016:00:05%20GMT	https://wphix.com/robots.txt		(from )
16:32:27	1478/1478	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Nov%202021%2011:52:26%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/img/favicon.jpg	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/img/favicon.jpg	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:27	1779/1779	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/preloader.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/preloader.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:27	140936/140936	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/bootstrap.min.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:28	1776/1776	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/slick.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/slick.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:28	2723/2723	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/metisMenu.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/metisMenu.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:28	2936/2936	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/owl.carousel.min.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:28	68606/68606	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/animate.min.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/animate.min.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:28	12795/12795	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/jquery.fancybox.min.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:29	173752/173752	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/all.min.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/all.min.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:29	1770/1770	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/flaticon.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/flaticon.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:29	3997/3997	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/nice-select.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/nice-select.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:29	8320/8320	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/default.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/default.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
16:32:29	115618/115618	---MCZ	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:52:21%20GMT	https://wphix.com/template/sycho-prv/sycho/assets/css/style.css	C:/My%20Web%20Sites/dr5/wphix.com/template/sycho-prv/sycho/assets/css/style.css	(from https://wphix.com/template/sycho-prv/sycho/index.html)
